,Brainstem,SpinalCord,Esophagus,Larynx,Mandible_Bone,Parotid_L,Parotid_R,Acoustic_L,Acoustic_R,Lens_L,Lens_R,Eye_L,Eye_R,Nrv_Optic_L,Nrv_Optic_R,OpticChiasm
35,0.8099854337234417,0.8318917328626066,0.6479795396419438,0.5066714107809999,0.883947437264806,0.8162187647336162,0.8202695721598647,0.4157088122605364,0.38064516129032255,0.6792452830188679,0.6255144032921811,0.8861548045475782,0.847985347985348,0.46196403872752423,0.49338146811071,0.616519174041298
36,0.8616271069831442,0.8896901836124685,0.2324140982156024,0.3454913880445795,0.9071329162669405,0.8199784405318002,0.780678096705837,0.2917015926236379,0.30418943533697634,0.6353790613718412,0.5035460992907801,0.9099554234769688,0.8745991019884541,0.41025641025641024,0.604221635883905,0.6255506607929515
37,0.8626293895714424,0.837925541329872,0.8077366813708856,0.3320839852989338,0.8956677990847067,0.8652239791755701,0.8491341119613371,0.3646805455850682,0.38912732474964234,0.581081081081081,0.6441717791411042,0.8459719375689737,0.8721015021146273,0.6339969372128637,0.6023054755043228,0.34989200863930886
38,0.844285445302203,0.8709269605644142,0.6974358974358974,0.377097487108128,0.8725282766739314,0.885585547648124,0.8782810499359796,0.3208065994500458,0.2916274694261524,0.7034482758620689,0.6111111111111112,0.8893052752954742,0.8615560640732265,0.6372881355932203,0.6577480490523969,0.5878693623639192
39,0.7833551710116117,0.8576231613355125,0.42028594550849746,0.45518367346938776,0.8911223405247161,0.8309660908509277,0.7737897050009989,0.36644165863066536,0.35386119257087,0.5774058577405857,0.6303501945525292,0.9066862601028656,0.8887861983980283,0.5988700564971752,0.5696969696969697,0.6429548563611491
40,0.8247715227642616,0.8292568203198495,0.5451416053825693,0.39564754970138266,0.8754076403447473,0.8750695088044486,0.8703994261890886,0.45081967213114754,0.42424242424242425,0.8376068376068376,0.8133333333333334,0.9135802469135802,0.8854826823876197,0.5124450951683748,0.5981308411214953,0.36661698956780925
41,0.0,0.7929003630496168,0.328604455653636,0.3741059699313969,0.774810150027783,0.3992061582872264,0.5535630014157622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.8558248914616498,0.849168889800944,0.534000652812534,0.4376862535340414,0.8990933125144165,0.8584400843197665,0.8501681503461919,0.4180478821362799,0.31462741490340385,0.43703703703703706,0.5481481481481482,0.9057310525658634,0.9090190915075708,0.5778781038374717,0.6225895316804407,0.6607538802660754
43,0.8407994486560992,0.8481227790080857,0.5109028486591816,0.49290220820189273,0.882202304737516,0.8822110925616768,0.875892014347744,0.34634634634634637,0.36477987421383645,0.7068965517241379,0.6339285714285714,0.905638665132336,0.8881952326901249,0.5807909604519774,0.6882966396292005,0.2603305785123967
44,0.8769599204735439,0.8420097950299292,0.45852082612207223,0.4601325108521819,0.8728176452314383,0.8889152622834084,0.8753507322135526,0.3504132231404959,0.3395585738539898,0.6743295019157088,0.6210045662100456,0.9031578947368422,0.8621264978006977,0.6763070077864294,0.7104337631887456,0.23952095808383234
45,0.8454661558109834,0.8329775880469584,0.6466100225420496,0.3491691374198442,0.8655231994605757,0.8513025489989832,0.8666853381879288,0.38076923076923075,0.31175934366453967,0.6620689655172414,0.7672131147540984,0.8428446005267779,0.8334415584415584,0.6484149855907781,0.6335570469798658,0.3098106712564544
46,0.8301618634030794,0.8610706638115632,0.573290500229463,0.359229265568277,0.8657171098471959,0.8556577930743836,0.8513103819982484,0.35901386748844377,0.3907185628742515,0.7168141592920354,0.5,0.8942062105121656,0.869611780455154,0.7162534435261708,0.710955710955711,0.48810754912099275
47,0.865709807803349,0.8738083538083538,0.6078795154425407,0.3999668627288543,0.886290515323663,0.8353913373860182,0.8179203346988582,0.39664218258132217,0.3667621776504298,0.5798319327731093,0.5928853754940712,0.8986029743127535,0.8904303957118083,0.7163120567375887,0.5789473684210527,0.14989293361884368
48,0.8273654256580507,0.8618715778994525,0.617090557071196,0.3576894061860114,0.8417749040515758,0.8673931432552122,0.9129969691567125,0.3338735818476499,0.20768431983385255,0.8195488721804511,0.7272727272727273,0.8892911010558069,0.883947783675226,0.6044776119402985,0.5612366230677764,0.6951871657754011
49,0.860612636674735,0.8126247987117552,0.6959122632103689,0.36915189062166204,0.8690292758089369,0.8903781713738631,0.8819528956976161,0.3482587064676617,0.3319755600814664,0.6187845303867403,0.638095238095238,0.8828977836586173,0.8342892574794606,0.5481727574750831,0.6546854942233633,0.5182186234817814
50,0.83657949871964,0.8311664446179997,0.5451346120007039,0.32349335093841364,0.9042009710787419,0.8640782419136275,0.8803224472922695,0.3524590163934426,0.36129032258064514,0.5747126436781609,0.5467625899280576,0.8617054263565892,0.8474521259331386,0.5115511551155115,0.7057356608478803,0.33136094674556216
51,0.8617752540346683,0.8369778708917114,0.5425119331742243,0.48111533586818755,0.8900251629137363,0.893152475894754,0.8704449037310997,0.352,0.3346456692913386,0.6111111111111112,0.7628865979381443,0.9065450993161837,0.898379970544919,0.6019417475728155,0.6887417218543046,0.39806996381182147
